단 가 대 비 표,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 진성여고특별교실(it실)증축 ],,,,,,,,,,,,,,,,,,,,,,,,,,,
코  드,품      명,규격,단위,재  료  비,,,,,,,,,,,노 무 비,경    비,,,,,,번  호,비  고,품목구분,노임구분,소수점처리,자재구분
,,,,가격정보,PAGE,거래가격,PAGE,유통물가,PAGE,물가자료,PAGE,조사가격,PAGE,적용단가,,가격정보,거래가격,유통물가,물가자료,조사가격,적용단가,,,,,,
553D82A61C8D64C5F8E85FB1E16ABFDDBCB977,PVC 소켓(접착제),D50,개,350.00,,345.00,794,392.00,555,,,,,345.00,,,,,,,,자재 51,,,,,
553D82A61C8D64C5F8E85FB1E16ABFDC93E58D,PVC YT관(접착제),D100×50,개,"1,890.00",,,,"2,562.00",555,,,,,"1,890.00",,,,,,,,자재 52,,,,,
553D82A61C8D64C5F8E85FB1E162600493CD6B,PVC 45˚단곡관(접착제),D50,개,530.00,,,,,,580.00,,,,530.00,,,,,,,,자재 53,,,,,
553D82A61C8D64C5F8E8A79FD19D979D5D03F0,동절연유니온,D15,조,"8,440.00",,"13,230.00",786,,,,,,,"8,440.00",,,,,,,,자재 54,,,,,
52BEA25654FAA49E587627E0810C67C4E243C0,보통인부,일반공사 직종,인,,,,,,,,,,,,"167,081.00",,,,,,,노임 1,,B,,,
52BEA25654FAA49E587627E0810C67C4E24239,용접공,일반공사 직종,인,,,,,,,,,,,,"270,724.00",,,,,,,노임 2,,B,,,
52BEA25654FAA49E587627E0810C67C4E2423E,착암공,일반공사 직종,인,,,,,,,,,,,,"212,500.00",,,,,,,노임 3,,B,,,
52BEA25654FAA49E587627E0810C67C4E24116,건축목공,일반공사 직종,인,,,,,,,,,,,,"279,267.00",,,,,,,노임 4,,B,,,
52BEA25654FAA49E587627E0810C67C4E24007,배관공,일반공사 직종,인,,,,,,,,,,,,"229,664.00",,,,,,,노임 5,,B,,,
52BEA25654FAA49E587627E0810C67C4E247BC,보일러공,일반공사 직종,인,,,,,,,,,,,,"230,103.00",,,,,,,노임 6,,B,,,
52BEA25654FAA49E587627E0810C67C4E247BF,위생공,일반공사 직종,인,,,,,,,,,,,,"214,222.00",,,,,,,노임 7,,B,,,
52BEA25654FAA49E587627E0810C67C4E247B9,보온공,일반공사 직종,인,,,,,,,,,,,,"214,086.00",,,,,,,노임 8,,B,,,
52ABF2D60986D40F28CFC010F16D9D06F3FE7B,통기밸브-미니벤트,D50,개,,,"65,000.00",796,,,,,,,"65,000.00",,,,,,,,자재 55,,,,,
